os,hostname,dir,path
Linux,cvlkrcompute1.utdallas.edu,kennedy,/cvl/kennedy
Linux,cvlkrcompute1.utdallas.edu,rodrigue,/cvl/rodrigue
Linux,cvlkrcompute1.utdallas.edu,kenrod,/cvl/kenrod
Linux,cortex.cvl.utdallas.edu,kennedy,/mfs/cvl/groups/kennedy
Linux,cortex.cvl.utdallas.edu,rodrigue,/mfs/cvl/groups/rodrigue
Linux,cortex.cvl.utdallas.edu,kenrod,/mfs/cvl/groups/kenrod
Darwin,local,kennedy,/Volumes/kennedy
Darwin,local,rodrigue,/Volumes/rodrigue
Darwin,local,kenrod,/Volumes/kenrod
Windows_NT,local,kennedy,//smb.cvl.utdallas.edu/kennedy
Windows_NT,local,rodrigue,//smb.cvl.utdallas.edu/rodrigue
Windows_NT,local,kenrod,//smb.cvl.utdallas.edu/kenrod
Linux,ganymede.utdallas.edu,kenrod,/home/${USER}/scratch/cvl/kenrod
